kworker/0:2-39    [000]   140.574740: funcgraph_entry:      # 2217.942 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   145.783460: funcgraph_entry:      # 2264.960 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   150.973689: funcgraph_entry:      ! 863.374 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   156.176062: funcgraph_entry:      ! 972.389 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   161.385036: funcgraph_entry:      # 2272.124 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   166.580115: funcgraph_entry:      # 1181.442 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   171.788184: funcgraph_entry:      # 2187.725 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   176.989841: funcgraph_entry:      ! 966.478 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   182.187257: funcgraph_entry:      ! 877.881 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   187.386125: funcgraph_entry:      ! 893.060 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   192.586056: funcgraph_entry:      ! 869.897 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   197.786743: funcgraph_entry:      # 1582.798 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   202.996198: funcgraph_entry:      # 2885.668 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   208.292897: funcgraph_entry:      ! 871.489 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   213.490384: funcgraph_entry:      # 1015.590 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   218.699990: funcgraph_entry:      ! 909.391 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   223.897892: funcgraph_entry:      ! 863.704 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   229.093050: funcgraph_entry:      # 1926.774 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   234.294149: funcgraph_entry:      # 1219.995 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   239.502973: funcgraph_entry:      # 1829.381 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   244.695630: funcgraph_entry:      # 1080.542 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   249.894017: funcgraph_entry:      # 1058.511 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   255.092406: funcgraph_entry:      ! 975.264 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   260.302117: funcgraph_entry:      # 2203.925 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   265.491445: funcgraph_entry:      ! 926.763 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   270.701346: funcgraph_entry:      # 1887.310 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   275.895340: funcgraph_entry:      ! 904.501 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   281.108010: funcgraph_entry:      ! 911.946 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   286.319676: funcgraph_entry:      # 2527.654 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   291.514737: funcgraph_entry:      # 2187.425 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   296.713774: funcgraph_entry:      # 1927.796 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   301.903507: funcgraph_entry:      ! 912.616 us |  ksmbd_decode_ntlmssp_auth_blob();
kworker/0:2-39    [000]   307.104432: funcgraph_entry:      # 1184.287 us |  ksmbd_decode_ntlmssp_auth_blob();
